Unnamed: 0.1,Unnamed: 0,formation_energy,elem_frac,elem_list,energy,formula,magnetic_moment,spin_index,num_p,num_d,num_f,atomic_rad,atomic_vol,covalent_rad,dipole,eaffinity,num_electrons,A1,A2,B1,B2,X,elem_sorted
25,25,-1.403839538,"[{Element Cr: 0.1}, {Element Si: 0.1}, {Element Ni: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Si, Element Ni, Element Te, Element P]",-46.1935821,Cr1Si1Ni1Te6P1,2.802,1,4,10,0,"[130.0, 132.0, 124.0, 160.0, 128.0]","[7.23, 12.1, 6.6, 20.5, 17.0]","[122.0, 115.99999999999999, 110.00000000000001, 136.0, 111.00000000000001]","[78.4, 37.31, 51.1, 37.0, 24.93]","[0.6659999999999999, 1.3895211, 1.156, 1.9708759999999999, 0.746607]","[24, 14, 28, 52, 15]",0,0,0,0,0,"['Cr', 'Ni', 'Si', 'P', 'Te']"
26,26,-1.790787743,"[{Element Cr: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}, {Element Ru: 0.1}]","[Element Cr, Element Si, Element Te, Element P, Element Ru]",-50.38888289,Cr1Si1Te6P1Ru1,3.118,0,4,8,0,"[130.0, 132.0, 160.0, 128.0, 134.0]","[7.23, 12.1, 20.5, 17.0, 8.3]","[122.0, 115.99999999999999, 136.0, 111.00000000000001, 125.0]","[78.4, 37.31, 37.0, 24.93, 65.0]","[0.6659999999999999, 1.3895211, 1.9708759999999999, 0.746607, 1.05]","[24, 14, 52, 15, 44]",0,0,0,0,0,"['Cr', 'Ru', 'Si', 'P', 'Te']"
27,27,-1.55810391,"[{Element Cr: 0.1}, {Element Si: 0.2}, {Element Ni: 0.1}, {Element Te: 0.6}]","[Element Cr, Element Si, Element Ni, Element Te]",-46.36803153,Cr1Si2Ni1Te6,2.537,0,4,10,0,"[130.0, 132.0, 124.0, 160.0]","[7.23, 12.1, 6.6, 20.5]","[122.0, 115.99999999999999, 110.00000000000001, 136.0]","[78.4, 37.31, 51.1, 37.0]","[0.6659999999999999, 1.3895211, 1.156, 1.9708759999999999]","[24, 14, 28, 52]",0,0,0,0,0,"['Cr', 'Ni', 'Si', 'Si', 'Te']"
28,28,-1.611978575,"[{Element Cr: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}, {Element Ru: 0.1}]","[Element Cr, Element Si, Element Te, Element Ru]",-50.23025878,Cr1Si2Te6Ru1,3.469,1,4,8,0,"[130.0, 132.0, 160.0, 134.0]","[7.23, 12.1, 20.5, 8.3]","[122.0, 115.99999999999999, 136.0, 125.0]","[78.4, 37.31, 37.0, 65.0]","[0.6659999999999999, 1.3895211, 1.9708759999999999, 1.05]","[24, 14, 52, 44]",0,0,0,0,0,"['Cr', 'Ru', 'Si', 'Si', 'Te']"
29,29,-1.061362311,"[{Element Cr: 0.1}, {Element Te: 0.6}, {Element P: 0.2}, {Element Ru: 0.1}]","[Element Cr, Element Te, Element P, Element Ru]",-49.6392724,Cr1Te6P2Ru1,3.183,0,4,8,0,"[130.0, 160.0, 128.0, 134.0]","[7.23, 20.5, 17.0, 8.3]","[122.0, 136.0, 111.00000000000001, 125.0]","[78.4, 37.0, 24.93, 65.0]","[0.6659999999999999, 1.9708759999999999, 0.746607, 1.05]","[24, 52, 15, 44]",0,0,0,0,0,"['Cr', 'Ru', 'P', 'P', 'Te']"
30,30,-1.468724333,"[{Element Cr: 0.2}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Ge, Element Te, Element P]",-49.62455047,Cr2Ge1Te6P1,5.896,0,4,3,0,"[130.0, 137.0, 160.0, 128.0]","[7.23, 13.6, 20.5, 17.0]","[122.0, 121.0, 136.0, 111.00000000000001]","[78.4, 39.43, 37.0, 24.93]","[0.6659999999999999, 1.232712, 1.9708759999999999, 0.746607]","[24, 32, 52, 15]",0,0,0,0,0,"['Cr', 'Cr', 'Ge', 'P', 'Te']"
31,31,-1.74336691,"[{Element Cr: 0.2}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Ge, Element Te]",-49.11675782,Cr2Ge2Te6,6.19,0,4,3,0,"[130.0, 137.0, 160.0]","[7.23, 13.6, 20.5]","[122.0, 121.0, 136.0]","[78.4, 39.43, 37.0]","[0.6659999999999999, 1.232712, 1.9708759999999999]","[24, 32, 52]",0,0,0,0,0,"['Cr', 'Cr', 'Ge', 'Ge', 'Te']"
32,32,-1.905296355,"[{Element Cr: 0.2}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Cr, Element Si, Element Ge, Element Te]",-50.08130755,Cr2Si1Ge1Te6,6.2,0,4,3,0,"[130.0, 132.0, 137.0, 160.0]","[7.23, 12.1, 13.6, 20.5]","[122.0, 115.99999999999999, 121.0, 136.0]","[78.4, 37.31, 39.43, 37.0]","[0.6659999999999999, 1.3895211, 1.232712, 1.9708759999999999]","[24, 14, 32, 52]",0,0,0,0,0,"['Cr', 'Cr', 'Si', 'Ge', 'Te']"
33,33,-1.724162408,"[{Element Cr: 0.2}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Si, Element Te, Element P]",-50.68260883,Cr2Si1Te6P1,5.918,0,4,3,0,"[130.0, 132.0, 160.0, 128.0]","[7.23, 12.1, 20.5, 17.0]","[122.0, 115.99999999999999, 136.0, 111.00000000000001]","[78.4, 37.31, 37.0, 24.93]","[0.6659999999999999, 1.3895211, 1.9708759999999999, 0.746607]","[24, 14, 52, 15]",0,0,0,0,0,"['Cr', 'Cr', 'Si', 'P', 'Te']"
34,34,-2.09748294,"[{Element Cr: 0.2}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Si, Element Te]",-51.07611442,Cr2Si2Te6,6.206,0,4,3,0,"[130.0, 132.0, 160.0]","[7.23, 12.1, 20.5]","[122.0, 115.99999999999999, 136.0]","[78.4, 37.31, 37.0]","[0.6659999999999999, 1.3895211, 1.9708759999999999]","[24, 14, 52]",0,0,0,0,0,"['Cr', 'Cr', 'Si', 'Si', 'Te']"
