,Material,sign_MA,log_MA,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,Abar_SOCC,dA_SOCC,AXsumbar_rad
62,1T-Fe1Tc1S4,1,-10.24682329,4179.349052925186,1263.8877876094193,427.02108895864524,357.82106938252804,353.91319707823226,376.2724155439561,103,122.0,12,19.0,19.0,12.0,19.4,70.5,17.0,51.1,51.1,17.0,6,7.5,1,1.5,1.5,1,2,3.5,1,1.5,1.5,1,0,8.5,9,8.5,8.5,9,15.5,7.8,1.4,7.7,7.7,1.4,10.36001,7.5109244,0.7830868,2.8490856,2.8490856,0.7830868,2.07710403,0.3505,0.399,1.72660403,1.72660403,0.399,2.07710403,0.3505,0.399,1.72660403,1.72660403,0.399,810.5,-569.0,225.0
63,1T-Fe1Tc1Se4,1,-10.21737672,4318.858165133432,1183.1768355971794,2612.321899992967,2236.4081823490756,2214.721900110688,2315.6877460035753,116,122.0,12,6.0,6.0,12.0,28.9,70.5,17.0,41.6,41.6,17.0,6,7.5,1,1.5,1.5,1,2,3.5,1,1.5,1.5,1,10,8.5,9,1.5,4.5,3,16.5,7.8,1.4,8.7,8.7,1.4,9.752392,7.5109244,0.7830868,2.2414676,2.2414676,0.7830868,2.02067,0.3505,0.399,1.67017,1.67017,0.399,2.02067,0.3505,0.399,1.67017,1.67017,0.399,810.5,-569.0,238.0
64,1T-Fe1Ti1S4,1,-10.81230627,1276.9272576777269,854.2624045352666,411.82516376521943,356.4062033988903,353.91319706204195,376.27241554393333,103,126.0,20,23.0,23.0,20.0,19.4,81.0,38.0,61.6,61.6,38.0,6,6.0,4,0.0,2.0,0,2,2.0,4,0.0,2.0,0,0,2.0,4,2.0,2.0,4,15.5,8.85,3.5,6.65,6.65,3.5,10.36001,7.3652939,1.0743478,2.9947161,2.9947161,1.0743478,2.07710403,0.115,0.072,1.96210403,1.96210403,0.072,2.07710403,0.115,0.072,1.96210403,1.96210403,0.072,331.0,390.0,229.0
65,1T-Fe1Ti1Se4,1,-10.65489964,1183.2155016581405,798.4145447368664,2783.5138995577545,2256.9631674398997,2214.7219002752568,2315.6877460041064,116,126.0,20,10.0,10.0,20.0,28.9,81.0,38.0,52.1,52.1,38.0,6,6.0,4,0.0,2.0,0,2,2.0,4,0.0,2.0,0,10,2.0,4,8.0,8.0,4,16.5,8.85,3.5,7.65,7.65,3.5,9.752392,7.3652939,1.0743478,2.3870981,2.3870981,1.0743478,2.02067,0.115,0.072,1.90567,1.90567,0.072,2.02067,0.115,0.072,1.90567,1.90567,0.072,331.0,390.0,242.0
66,1T-Fe1W1S4,-1,-11.01245325,15327.676939020534,1265.675703515534,430.04985229606035,358.07302801514857,353.91319708000987,376.2724155439597,103,126.5,21,23.5,23.5,21.0,19.4,65.0,6.0,45.6,45.6,6.0,6,7.0,2,1.0,1.0,2,2,3.0,2,1.0,1.0,2,0,13.0,18,13.0,13.0,18,15.5,8.315,2.43,7.185,7.185,2.43,10.36001,7.8832489,0.0384378,2.4767611,2.4767611,0.0384378,2.07710403,0.48363,0.66526,1.59347403,1.59347403,0.66526,2.07710403,0.48363,0.66526,1.59347403,1.59347403,0.66526,1867.5,-2683.0,229.5
67,1T-Fe1Zn1Te4,1,-8.106806879,1208.117215724495,1704.9248183713248,7414.077876490513,6289.995117566522,6206.877075663692,6443.0463204160405,136,117.0,2,19.0,19.0,2.0,38.0,50.335,23.33,12.335,12.335,23.33,6,10.0,4,4.0,4.0,4,2,3.0,2,1.0,1.0,2,20,6.0,4,14.0,14.0,4,20.5,8.15,2.1,12.35,12.35,2.1,9.00966,8.6483334,1.4917312,0.3613266,0.7458656,0.7226532,1.970876,0.0755,0.151,1.895376,1.895376,0.151,1.970876,0.0755,0.151,1.895376,1.895376,0.151,836.0,-620.0,253.0
68,1T-Fe1Zr1S4,1,-9.8528895,3517.3982803088293,1263.33357892254,426.41076302270926,357.76955336451584,353.9131970778421,376.27241554395556,103,135.0,38,32.0,32.0,38.0,19.4,87.0,50.0,67.6,67.6,50.0,6,6.0,4,0.0,2.0,0,2,2.0,4,0.0,2.0,0,0,7.0,6,7.0,7.0,6,15.5,10.6,7.0,4.9,4.9,7.0,10.36001,7.2681839,1.2685678,3.0918261,3.0918261,1.2685678,2.07710403,0.2885,0.275,1.78860403,1.78860403,0.275,2.07710403,0.2885,0.275,1.78860403,1.78860403,0.275,503.5,45.0,238.0
69,1T-Fe2S4,1,-7.523746993,1336.9580412445719,1196.9051429746125,419.3828412386378,357.15290106311426,353.9131970722752,376.2724155439458,103,116.0,0,13.0,13.0,0.0,19.4,62.0,0.0,42.6,42.6,0.0,6,8.0,0,2.0,2.0,0,2,4.0,0,2.0,2.0,0,0,4.0,0,4.0,4.0,0,15.5,7.1,0.0,8.4,8.4,0.0,10.36001,7.9024678,0.0,2.4575422,2.4575422,0.0,2.07710403,0.151,0.0,1.92610403,1.92610403,0.0,2.07710403,0.151,0.0,1.92610403,1.92610403,0.0,526.0,0.0,219.0
70,1T-Fe2Se4,-1,-9.683308391,2806.5573085566816,1179.4385266966642,1186.7357022612284,2260.3534730178344,2214.721900289481,2315.687746004215,116,116.0,0,0.0,0.0,0.0,28.9,62.0,0.0,33.1,33.1,0.0,6,8.0,0,2.0,2.0,0,2,4.0,0,2.0,2.0,0,10,4.0,0,6.0,6.0,0,16.5,7.1,0.0,9.4,9.4,0.0,9.752392,7.9024678,0.0,1.8499242,1.8499242,0.0,2.02067,0.151,0.0,1.86967,1.86967,0.0,2.02067,0.151,0.0,1.86967,1.86967,0.0,526.0,0.0,232.0
71,1T-Mn1Ag1S4,1,-9.402712265,5168.307101607238,1154.3934073846992,426.28399008673705,357.7360201525085,353.91319707698375,376.27241554395437,103,123.5,9,20.5,20.5,9.0,19.4,61.5,13.0,42.1,42.1,13.0,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,0,10.0,14,10.0,10.0,14,15.5,8.845,2.91,6.655,6.655,2.91,10.36001,7.505126,0.142216,2.854884,2.854884,0.142216,2.07710403,0.651,1.302,1.42610403,1.42610403,1.302,2.07710403,0.651,1.302,1.42610403,1.42610403,1.302,1154.5,-1521.0,226.5
